Codigo;Categoria;Producto;Fabricante;Nro. de Parte;Moneda;Precio sin IVA;%IVA;Imp. Int.;Precio Final U$D;Stock
0416736;SUPER OFERTAS;Disco SSD M.2 KINGSTON SNV3S 1000GB NVMe PCIe 4.0 (4790);Kingston;SNV3S/1000G;US$;54.42;10.5;0;60.13;
0416836;SUPER OFERTAS;Disco SSD M.2 KINGSTON SNV3S 500GB NVMe PCIe 4.0 (4806);Kingston;SNV3S/500G;US$;35.32;10.5;0;39.03;
0416292;SUPER OFERTAS;Gabinete TT The Tower 300 Mid-Tower TG x3 Fan x2 Hydrangea Blue (1112);THERMALTAKE;CA-1Y4-00SFWN-00;US$;146.16;10.5;0;161.51;Stock Bajo
0416290;SUPER OFERTAS;Gabinete TT The Tower 300 Mid-Tower TG x3 Fan x2 Match Green (1099);THERMALTAKE;CA-1Y4-00SEWN-00;US$;131.48;10.5;0;145.29;Stock Bajo
0416289;SUPER OFERTAS;Gabinete TT The Tower 300 Mid-Tower TG x3 Fan x2 Racing Green (1082);THERMALTAKE;CA-1Y4-00SCWN-00;US$;146.22;10.5;0;161.57;Stock Bajo
0415891;SUPER OFERTAS;HP Impresora Laser M111A (8163);HP;7MD67A;US$;83.5;10.5;0;92.27;
0415892;SUPER OFERTAS;HP Impresora Laser M111W (8194);HP;7MD68A;US$;110.85;10.5;0;122.49;
0416951;SUPER OFERTAS;HP LaserJet Pro 3003dw (1024);HP;3G654A;US$;168.03;10.5;0;185.67;
0416949;SUPER OFERTAS;HP LaserJet Tank MFP 1602w (8825);HP;2R3E8A;US$;215.46;21;0;260.71;
0416950;SUPER OFERTAS;HP LaserJet Tank MFP 2602sdw (9006);HP;2R7F5A;US$;256.5;21;0;310.37;
0416994;SUPER OFERTAS;HP LaserJetPro Color MFP 3303fdw (7821);HP;499M8A;US$;424.85;21;0;514.07;Stock Bajo
0416794;SUPER OFERTAS;Notebook HP 255 G10 R3-7330U 15 8GB/256 PC FreeDOs (8889);HP;81U53LT;US$;367.4;10.5;0;405.98;Stock Bajo
0416226;SUPER OFERTAS;"Notebook Lenovo Thinkpad Z16 16""TOUCH  AMD  R5_PRO 6650H 16G DDR5 6400  - RADEON RX6500M 4GB-  512G NVME  -W11Pro + Gar.3Y Premier Sup";LENOVO;21D5S0ND00;US$;1222.1;10.5;0;1350.42;Stock Bajo
0416373;SUPER OFERTAS;"Notebook Lenovo Yoga Slim 7 14IMH9 14"" WUXGA OLED  INTEL ULTRA5 125H 16GB 7467MHZ  512GB NVME W11 (5905)";LENOVO;83CV005FAR;US$;1115.78;10.5;0;1232.94;Stock Bajo
0414924;SUPER OFERTAS;PARLANTE JBL BLUETOOTH FLIP6 AZUL (3077);JBL;JBLFLIP6BLUAM;US$;113.45;21;0;137.27;
0414328;SUPER OFERTAS;PARLANTE JBL BLUETOOTH FLIP6 GRIS (3091);JBL;JBLFLIP6GREYAM;US$;113.45;21;0;137.27;Stock Bajo
0415002;SUPER OFERTAS;PARLANTE JBL BLUETOOTH FLIP6 NEGRO (3060);JBL;JBLFLIP6BLKAM;US$;113.45;21;0;137.27;
0416775;SUPER OFERTAS;PARLANTE JBL PULSE5 BLUETOOTH 30 WATTS CON LUCES (0969);JBL;JBLPULSE5BLKAM;US$;218.05;21;0;263.84;
0416446;SUPER OFERTAS;SG6428XHP Switch Gigabit L3 POE 720W +4 SFP 10G Tp-Link Omada;TP-Link SMB;SG6428XHP;US$;650;10.5;0;718.25;Stock Bajo
0416849;SUPER OFERTAS;SM5220-3M PACH CORD con 2 SFP+  10G - cable de 3 mtrs (2821);TP-Link SMB;SM5220-3M;US$;29.5;21;0;35.7;
0410958;SUPER OFERTAS;Disco SSD KINGSTON A400 480 GB SATA Interno 7 mm (3442);Kingston;SA400S37/480G;US$;33.4;10.5;0;36.91;
0411568;SUPER OFERTAS;OC200 Omada EAP Cloud Controller (4233);TP-Link SMB;OC200;US$;73.7;21;0;89.18;Stock Bajo
0413955;SUPER OFERTAS;OC300 Omada EAP Cloud Controller (9863);TP-Link SMB;OC300;US$;180;21;0;217.8;Stock Bajo
0404332;SUPER OFERTAS;TL-R470T+ Rou Multi Wan Bal Carga (0413);TP-Link SMB;TL-R470T+;US$;19.5;10.5;0;21.55;
0408934;SUPER OFERTAS;TL-R480T+ Rou Multi Wan Bal Carga (0437);TP-Link SMB;TL-R480T+;US$;27;10.5;0;29.84;
0415880;Almacenamiento /Pen Drive;Pen Drive HIKSEMI 128Gb M200S Rotary USB 3.0 (6959);Hiksemi;HS-USB-M200S(STD)/128G/U3/NEWSEMI/WW;US$;10.82;21;0;13.09;
0415883;Almacenamiento /Pen Drive;Pen Drive HIKSEMI 128Gb M210S Pully USB 3.0 (6652);Hiksemi;HS-USB-M210S(STD)/128G/U3/NEWSEMI/WW;US$;7.21;21;0;8.72;
0416386;Almacenamiento /Pen Drive;Pen Drive HIKSEMI 32Gb E307C Dual Slim USB 3.0 / USB Type C (6713);Hiksemi;HS-USB-E307C(STD)/32G/U3/NEWSEMI/WW;US$;4.05;21;0;4.9;
0415878;Almacenamiento /Pen Drive;Pen Drive HIKSEMI 32Gb M200S Rotary USB 3.0 (6935);Hiksemi;HS-USB-M200S(STD)/32G/U3/NEWSEMI/WW;US$;3.95;21;0;4.78;
